英文|中文
as QuickReference|作为 快速参考
Other...|其他...
Add|添加
New Text|新建文本
New Folder|新建文件夹
Duplicate|副本
Move to Trash|移动到废纸篓
Ungroup|取消群组
Convert to File/Folder|转换为 文件/文件夹
Word &amp; Char Count|字数 &amp; 字符计数
and Synopsis|和摘要
Word Count|单词计数
Character Count|字符计数
Total Word Count|总单词计数
Total Character Count|总字符计数
Include In Export|包括在输出中
Card size:|卡片尺寸:
Cards across:|每行显示:
Auto|自动
Keyword chips:|关键词贴片:
Ratio:|比例:
Size to fit editor|适合于编辑器
Spacing:|间距:
Use small font|使用小字体
Include comments and annotations|包括批注和注释
Include footnotes|包括脚注
(Note that for speed purposes, the live word and character counts in the footer bar always include inline notes and exclude inspector notes.)|(注意,出于对速度的考虑,页脚状态栏实时的单词和字符计数总是包括内嵌笔记和排除检查器笔记.)
Characters (no spaces):|字符 (不计空格):
Characters:|字符:
Words:|单词:
Create new document|创建新的文档
Create new folder document|创建新的文件夹文档
Background Fade|背景淡出
Text Scale|文字缩放
Center|居中
Left|靠左
Right|靠右
Paper Position|纸张位置
Paper Width|纸张宽度
FadeOut|淡入
Inspector|检查器
Transition|转场
Screenplay Elements|电影剧本元素
Go To Docs|前往文档
Picture|图片
Document Notes|文档笔记
Project Notes|项目笔记
References|参考文献
Project References|项目参考文献
Custom Meta-Data|自定义元数据
Comments &amp; Footnotes|批注 &amp; 脚注
No Label|无标签
No Status|无状态
Keyword|关键词
Description|描述
Comments|批注
Loading text...|加载文本...
Please wait...|请等待...
Add Keyword|添加关键词
Add Internal Reference|添加内部参考
Look Up &amp; Add External Reference...|查找 &amp; 添加外部参考...
Create External Reference|创建外部参考
Open with Finder|在 Finder 中打开
Open as QuickReference|作为快速参考打开
Open in QuickLook|在快速查看中打开
Word-Wrap All Fields|所有字段自动换行
Color Field Names|着色字段名称
Modified:|修改时间:
Created:|创建时间:
Label:|标签:
Status:|状态:
Project Notes (General)|项目笔记 (通用)
Manage Project Notes...|管理项目笔记...
Document References|文档参考文献
Snapshots|快照
Open in Current Editor|使用当前编辑器打开
Open in Other Editor|使用其他编辑器打开
Show Project Keywords|显示项目关键词
Edit Custom Meta-Data Settings...|编辑自定义元数据设置...
Add to Collection|添加到档案集
New Collection|新建档案集
Document Target|文档目标
Target for this document:|此文档目标:
Show target notifications|显示目标通知
Collections|档案集
Existing Files...|文件...
Web Page...|网页...
Compilable Subdocuments|可编译的子文档
With All Subdocuments as Flat List|所有子文档按扁平列表显示
on Editor Corkboard|在软木板编辑器
on Alternate Editor Corkboard|在其他软木板编辑器
in External Editor|使用 外部编辑器
Original URL in Browser|在浏览器中打开原始URL
Copy Document Link|复制文档链接
Add to Favorites|添加到收藏夹
Remove from Favorites|从收藏夹移除
Empty Trash...|清空废纸篓...
Binder|文件栏
Search Results|搜索结果
Collection|档案集
Convert Format Options|转换格式选项
Convert Format|转换格式
Convert font only|仅转换字体
Preserve font size|保留字体大小
Converting document style cannot be undone. Please note that batch conversion is destructive and some documents may lose certain formatting attributes.|转换文档样式无法撤销.请注意,批量转换是破坏性的并可能导致一些格式属性丢失.
Copying...|复制...
Corkboard Layout|软木板布局
Display|每行显示
cards across|个卡片
Empty Trash|清空废纸篓
Are you sure you want to delete all items in the trash permanently? This operation cannot be undone.|你确定要删除所有项目到废纸篓里吗?此操作不能撤销.
Move Up|上移
Move Down|下移
Move Left|左移
Move Right|右移
Project Search|项目搜索
New Scrivener Clipping|新建 Scrivener 剪贴
Please enter a title for the clipping:|请为剪贴输入一个标题:
Snapshot title:|快照标题:
Taking Snapshots|创建快照
Taking snapshots...|创建快照...
Import Web Page...|导入网页...
No Layouts Yet Created|没有创建的布局
Document|文档
Combined Text|组合文本
Show Label &amp; Status Columns|显示标签 &amp; 状态列
Save Search|保存搜索
Please enter a name under which to save this search. The search will then be available as a collection tab (go to View &gt; Collections to view collections).|请输入一个名称来保存这个搜索.保存后的搜索结果会呈现在档案集中.(可以通过 视图 &gt; 档案集 查看)
New Saved Search Collection|新建搜索档案集
Search In|搜索范围
Operator|操作
Exact Phrase|精确匹配
All Words|搜索字句
Any Word|搜索字词
Search Binder Selection Only|仅搜索文件栏选择文档
Exclude Trash Documents|不包括废纸篓
Search "Included" Documents|搜索 "包括的" 文档
Search "Excluded" Documents|搜索 "排除的" 文档
Case Sensitive|区分大小写
Save Search As Collection...|保存搜索为档案集...
Yellow|黄色
Orange|橘色
Pink|粉色
Green|绿色
Blue|蓝色
Arbitrary...|任意...
Zoom to Fit Screen|缩放适合屏幕
Layouts|布局
Manage Layouts...|管理布局...
Float Window|浮动窗口
Float QuickReference Panels|浮动快速参考面板
Show Scratch Pad|显示便笺本
About Scrivener|关于 Scrivener
Authorize Folder Access...|授权文件夹访问...
Reveal Support Folder in Finder|在 Finder 中显示支持文件夹
Hide Scrivener|隐藏 Scrivener
Quit Scrivener|退出 Scrivener
New Project...|新建项目...
Open…|打开…
Recent Projects|打开最近使用的
Find All Projects in Spotlight|在 Spotlight 中查找所有项目
Close Project|关闭项目
Close Project and Clear Interface Settings|关闭项目并清除界面设置
Close Window|关闭窗口
Save|保存
Save and Rebuild Search Indexes|保存并重建搜索索引
Save As...|另存为...
Import|导入
Files...|文件...
Research Files as Aliases...|导入替身到 Research...
MultiMarkdown File...|MultiMarkdown 文件...
Plain Text Formatted Screenplay...|纯文本格式剧本...
Scrivener Project...|Scrivener 项目...
Import and Split...|导入并切分...
OPML File...|OPML 文件...
Outliner Contents as CSV...|大纲目录存为 CSV...
Comments &amp; Annotations...|批注 &amp; 注释...
Sync|同步
with External Folder...|与外部文件夹...
with External Folder Now|立即与外部文件夹同步
with Simplenote...|通过 Simplenote...
with Index Card for iOS...|通过 Index Card for iOS...
Back Up|备份
Back Up To...|备份到...
Back Up Now|立即备份
Exclude From Automatic Backups|由自动备份中排除
Save As Template...|另存为模板...
Page Setup…|页面设置…
Print Current Document…|打印当前文档…
Copy Special|特殊复制
Copy as HTML|复制为 HTML
Copy as HTML (Basic, using &lt;p&gt; and &lt;span&gt;)|复制为 HTML(Basic, using &lt;p&gt; and &lt;span&gt;)
Copy as HTML (Basic, using &lt;br&gt;)|复制为 HTML(Basic, using &lt;br&gt;)
Copy as BBCode|复制为 BBCode
Copy without Comments and Footnotes|复制批注和脚注以外的内容
Copy Documents as Scrivener Links|复制文档为 Scrivener 链接
Copy Document as External Link|复制文档为外部链接
Copy Documents as ToC|复制文档为 ToC
Paste and Match Style|粘贴并匹配样式
Select Subgroups|选择子组
Select Current Text|选择当前文本
Select Annotation|选择注释
Complete|完成
Complete Document Title|自动完成文档标题
Add Selection to Auto-Complete List|添加选择到自动完成列表
Insert|插入
Image From File...|图像文件...
Image Linked to File...|图像文件链接...
MathType Equation|MathType 公式
Line Break|换行符
Non-Breaking Space|不间断空格(nbsp)
Word Joiner|零宽不间断空格
Auto-Number|自动编号
Hierarchical (1.2.3)|依序 (1.2.3)
Draft Word Count|草稿单词计数
Exact|完全相符
Rounded to Nearest 50|以50为单位舍入最近值
Rounded to Nearest 100|以100为单位舍入最近值
Rounded to Nearest 500|以500为单位舍入最近值
Rounded to Nearest 1000|以1000为单位舍入最近值
Draft Character Count|草稿字符计数
Bookmark Annotation|书签
Bookmark Header Annotation|带标题的书签
Endnote Marker|尾注标记
Horizontal Line|水平线
Centered Line|中心线
